,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,Comments,ComplianceStatus,Outlier,ZipCode,Latitude,Longitude,Address,PropertyGFATotal_calc,BuildingAge,MeanGFAperFloor,ParkingGFARatio,Certified,CertifiedPreviousYear,NbYearsCertified,SteamUse(ratio),Electricity(ratio),NaturalGas(ratio),OtherFuelUse(ratio),SteamUse(bins),Electricity(bins),NaturalGas(bins),OtherFuelUse(bins),EnergyProfile,MainEnergy,ExtsurfVolRatio,SiteEnergyUseWN(kBtu)_log,TotalGHGEmissions_log
1,1,2016,NonResidential,Hotel,MAYFLOWER PARK HOTEL,659000030,7,DOWNTOWN,1927,1.0,12.0,88434,0,88434,"('Hotel',)",Hotel,88434.0,None,0.0,None,0.0,(),60.0,81.69999695,84.30000305,182.5,189.0,7226362.0,7456910.0,2003882.0,1156514.25,3946027.0,12764.5293,1276453.0,0.0,249.98,2.83,False,,Compliant,,98101.0,47.6122,-122.33798999999999,405 OLIVE WAY,88434.0,89,6802.615384615385,0.0,False,False,0,0.2773016353180203,0.546059967657308,0.1766383970246716,0.0,(s),e,(n),(o),(s)e(n)(o),Electricity,0.06559181649800473,15.824651677256371,5.521380914662076
2,2,2016,NonResidential,Hotel,PARAMOUNT HOTEL,659000220,7,DOWNTOWN,1996,1.0,11.0,103566,15064,88502,"('Hotel', ' Parking', ' Restaurant')",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,(),61.0,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,950425.1875,3242851.0,51450.81641,5145082.0,0.0,295.86,2.86,False,,Compliant,,98101.0,47.613170000000004,-122.33393000000001,724 PINE STREET,103566.0,20,7375.166666666667,0.1454531409922175,False,False,0,0.0,0.38660907281925116,0.6133909271807488,0.0,(s),e,n,(o),(s)en(o),NaturalGas,0.06157534460764722,15.974742352376657,5.68988636946409
4,3,2015,NonResidential,Hotel,WESTIN HOTEL,659000475,7,DOWNTOWN,1969,1.0,41.0,961990,0,961990,"('Hotel', ' Parking', ' Swimming Pool')",Hotel,757243.0,Parking,100000.0,Swimming Pool,0.0,(),18.0,96.6,99.7,242.7,246.5,73132739.0,75506272.0,19660404.0,14583930.0,49762435.0,37099.0,3709900.0,0.0,2061.48,1.92,True,,Compliant,,98101,47.61334897,-122.33769944,1900 5TH AVE,857243.0,46,22904.52380952381,0.0,False,False,0,0.2688317745079943,0.6804399189807454,0.0507283065112603,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.03172113885100805,18.13972628361658,7.631179450426354
6,5,2015,NonResidential,Hotel,HOTEL MAX,659000640,7,DOWNTOWN,1926,1.0,10.0,61320,0,61320,"('Hotel',)",Hotel,61320.0,None,0.0,None,0.0,(),1.0,460.4,462.5,636.3,643.2,28229435.0,28363444.0,23458518.0,811521.0,2769023.0,20019.0,2001894.0,0.0,1936.34,31.38,False,,Compliant,high,98101,47.61421585,-122.33660889,620 STEWART ST,61320.0,89,5574.545454545455,0.0,False,False,0,0.8309949526088638,0.09808991926335046,0.07091512812778576,0.0,S,(e),(n),(o),S(e)(n)(o),Steam,0.07377616668667299,17.160611690901106,7.568554872251875
9,8,2015,NonResidential,Hotel,WARWICK SEATTLE HOTEL,659000970,7,DOWNTOWN,1980,1.0,18.0,119890,12460,107430,"('Hotel', ' Parking', ' Swimming Pool')",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,(),67.0,120.1,122.1,228.8,227.1,14829350.0,15078243.0,0.0,1777841.0,6066245.0,87631.0,8763105.0,0.0,507.7,4.02,False,,Compliant,,98121,47.6137544,-122.3409238,401 LENORA ST,191454.0,35,5654.210526315789,0.10392860121778297,False,False,0,0.0,0.40907018851129684,0.5909298114887032,0.0,(s),e,n,(o),(s)en(o),NaturalGas,0.06205122081179259,16.528763401819702,6.229890721953349
10,9,2016,Nonresidential COS,Other,WEST PRECINCT,660000560,7,DOWNTOWN,1999,1.0,2.0,97288,37198,60090,"('Police Station',)",Police Station,88830.0,None,0.0,None,0.0,(),,136.1000061,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,2160443.75,7371434.0,47151.81641,4715182.0,0.0,301.81,3.1,False,,Compliant,,98101.0,47.61623,-122.33657,810 VIRGINIA ST,88830.0,17,20030.0,0.382349313378834,False,False,0,0.0,0.609884023783001,0.39011597621699906,0.0,(s),e,n,(o),(s)en(o),Electricity,0.09628624367947426,16.347754889007504,5.709797680310989
12,10,2015,NonResidential,Hotel,CAMLIN WORLDMARK HOTEL,660000825,7,DOWNTOWN,1926,1.0,11.0,83008,0,83008,"('Hotel',)",Hotel,81352.0,None,0.0,None,0.0,(),25.0,76.9,79.6,149.5,158.2,6252953.0,6477493.0,0.0,785342.0,2679698.0,35733.0,3573255.0,0.0,208.46,2.37,False,,Compliant,,98101,47.6141141,-122.33274086,1619 9TH AVE,81352.0,89,6917.333333333333,0.0,False,False,0,0.0,0.4285491990744213,0.5714508009255787,0.0,(s),e,n,(o),(s)en(o),NaturalGas,0.06661248975599174,15.683844110753983,5.339747176311176
14,11,2015,NonResidential,Other,PARAMOUNT THEATER,660000955,7,DOWNTOWN,1926,1.0,8.0,102761,0,102761,"('Other - Entertainment/Public Assembly',)",Other - Entertainment/Public Assembly,102761.0,None,0.0,None,0.0,(),,62.5,71.8,152.2,160.4,6426191.0,7380086.0,2003108.0,1203937.0,4108004.0,3151.0,315079.0,0.0,199.99,1.77,False,,Compliant,,98101,47.61290234,-122.33130949,901 PINE ST,102761.0,89,11417.888888888889,0.0,False,False,0,0.3117100005275287,0.6392595551548343,0.04903044431763699,0.0,(s),e,(n),(o),(s)e(n)(o),Electricity,0.062125431212676226,15.814295849625289,5.2982673652979955
17,12,2016,NonResidential,Hotel,311WH-PIONEER SQUARE,939000080,7,DOWNTOWN,1904,1.0,15.0,163984,0,163984,"('Hotel',)",Hotel,163984.0,None,0.0,None,0.0,(),43.0,83.69999695,86.59999847,180.8999939,187.1999969,13723819.0,14194054.0,0.0,2138897.75,7297919.0,64259.0,6425900.0,0.0,392.16,2.39,False,,Compliant,,98104.0,47.602940000000004,-122.33263000000001,612 2ND AVE,163984.0,112,10249.0,0.0,False,False,0,0.0,0.5317702747318367,0.4682297252681633,0.0,(s),e,n,(o),(s)en(o),Electricity,0.05340000017316598,16.468333702484234,5.971669919779803
21,15,2016,NonResidential,Hotel,HOTEL MONACO SEATTLE,942000145,7,DOWNTOWN,1969,1.0,11.0,153163,19279,133884,"('Hotel',)",Hotel,133884.0,None,0.0,None,0.0,(),30.0,119.59999850000001,124.3000031,228.1999969,233.0,16016642.5,16646930.0,5237165.5,1813489.875,6187627.0,45918.5,4591850.0,0.0,691.26,4.51,False,,Compliant,,98101.0,47.60695,-122.33413999999999,1101 4TH AVENUE,133884.0,47,11157.0,0.12587243655452035,False,False,0,0.3269827306191045,0.3863248492934771,0.28669242008741846,0.0,(s),e,(n),(o),(s)e(n)(o),Electricity,0.053924259039992595,16.62773637300545,6.538516019278017
22,16,2015,NonResidential,Hotel,W SEATTLE HOTEL,942000165,7,DOWNTOWN,1998,1.0,25.0,333176,61161,272015,"('Hotel',)",Hotel,336640.0,None,0.0,None,0.0,(),32.0,82.3,83.1,207.2,208.0,27717818.0,27970822.0,5426396.0,5585560.0,19058722.0,32327.0,3232700.0,0.0,723.4,1.93,False,,Compliant,,98101,47.60718204,-122.33347215,1112 4TH AVE,336640.0,17,10462.115384615385,0.18356964487237976,False,False,0,0.19577284185934116,0.6875982084881285,0.11662894965253037,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.04388239214710162,17.14667245337698,6.5839623195179975
24,17,2015,NonResidential,Hotel,EXECUTIVE PACIFIC PLAZA,942000210,7,DOWNTOWN,1928,1.0,9.0,65009,0,65009,"('Hotel',)",Hotel,65009.0,None,0.0,None,0.0,(),39.0,104.7,96.8,166.5,158.2,6807294.0,6292213.0,1987163.0,473326.0,1615057.0,32051.0,3205074.0,0.0,334.87,5.04,False,,Compliant,,98104,47.60709939,-122.33310536,400 SPRING ST,65009.0,87,6500.9,0.0,False,False,0,0.2919167293200499,0.23725389266278202,0.47082937801716807,0.0,(s),(e),n,(o),(s)(e)n(o),NaturalGas,0.07183268160652127,15.654823395098447,5.813742396808923
26,18,2015,NonResidential,Hotel,CROWNE PLAZA,942000235,7,DOWNTOWN,1980,1.0,33.0,315952,57600,258352,"('Hotel', ' Parking')",Hotel,295511.0,Parking,57600.0,None,0.0,(),56.0,77.2,77.2,183.2,183.2,22812276.0,22811690.0,4731090.0,4129637.0,14090906.0,39903.0,3990280.0,0.0,675.34,1.95,True,,Compliant,,98101,47.60809326,-122.33211517,1113 6TH AVE,353111.0,35,7598.588235294118,0.18230617308958322,False,False,0,0.20739228299710208,0.6176896158892694,0.17491810111362846,0.0,(s),e,(n),(o),(s)e(n)(o),Electricity,0.048030290985011985,16.942783681827287,6.515216267760106
28,19,2016,NonResidential,Hotel,HOTEL VINTAGE SEATTLE,942000265,7,DOWNTOWN,1922,1.0,11.0,92190,25200,66990,"('Hotel', ' Parking')",Hotel,67390.0,Parking,25200.0,None,0.0,(),35.0,159.5,165.8999939,297.39999389999997,303.89999389999997,10750009.5,11179203.0,4870847.5,1123203.125,3832369.0,20467.93359,2046793.0,0.0,511.39,5.55,False,,Compliant,,98101.0,47.60755,-122.33243999999999,1100 5TH AVENUE,92590.0,94,5582.5,0.2733485193621868,False,False,0,0.4531016926078065,0.3564991268147251,0.19039918057746832,0.0,s,e,(n),(o),se(n)(o),Steam,0.06415463782786231,16.229565735135804,6.2371325085008635
31,21,2016,Nonresidential COS,Other,THE SEATTLE PUBLIC LIBRARY - CENTRAL LIBRARY,942000275,7,DOWNTOWN,2004,1.0,11.0,412000,57000,355000,"('Data Center', ' Library', ' Parking')",Library,364913.0,Parking,49000.0,Data Center,1074.0,(),,50.79999924,51.09999847,155.6000061,156.0,18588856.5,18706912.0,737559.5,5231916.0,17851297.0,0.0,0.0,0.0,181.38,0.44,False,,Compliant,,98154.0,47.60649,-122.33296999999999,1000 FOURTH AVENUE,414987.0,12,29583.333333333332,0.1383495145631068,False,False,0,0.03967750786607019,0.9603224921339298,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.04010600140735315,16.744403639198524,5.200594278019421
33,22,2015,NonResidential,Other,DOWNTOWN SEATTLE YMCA,942000350,7,DOWNTOWN,1930,1.0,6.0,103911,0,103911,"('Fitness Center/Health Club/Gym', ' Office', ' Swimming Pool')",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,(),,79.5,83.4,173.7,178.4,10340501.0,10843936.0,4398022.0,1549824.0,5288219.0,6543.0,654260.0,0.0,411.09,3.74,False,,Compliant,,98104,47.60544586,-122.33280182,909 4TH AVE,130000.0,85,14844.42857142857,0.0,False,False,0,0.4253200110903717,0.5114083930749583,0.0632715958346699,0.0,s,e,(n),(o),se(n)(o),Electricity,0.06457658860860434,16.19911658770205,6.018812168626219
34,23,2016,NonResidential,Hotel,RENAISSANCE SEATTLE HOTEL,942000430,7,DOWNTOWN,1983,1.0,28.0,416281,85000,331281,"('Hotel', ' Parking')",Hotel,348329.0,Parking,85000.0,None,0.0,(),31.0,96.30000305,98.59999847,228.5,232.8000031,33556752.0,34351920.0,0.0,6220773.0,21225277.0,123314.75,12331475.0,0.0,802.89,1.93,False,,Compliant,,98104.0,47.606809999999996,-122.33078,515 MADISON STREET,433329.0,33,11423.48275862069,0.20418899733593415,False,False,0,0.0,0.6325188146933887,0.36748118530661134,0.0,(s),e,n,(o),(s)en(o),Electricity,0.04104893569674932,17.35216847026706,6.688217718261911
37,24,2016,NonResidential,Mixed Use Property,THE RAINIER CLUB,942000510,7,DOWNTOWN,1907,1.0,5.0,57452,0,57452,"('Office', ' Other', ' Other - Lodging/Residential', ' Restaurant', ' Social/Meeting Hall')",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,(),,132.3999939,137.1000061,280.7000122,285.0,7606083.875,7877219.0,1776201.875,1103397.125,3764791.0,20650.91211,2065091.0,0.0,273.02,4.75,False,,Compliant,,98104.0,47.60515,-122.33158999999999,820 4TH AVE.,41688.0,109,9575.333333333334,0.0,False,False,0,0.23352383489197323,0.4949710076658864,0.2715051574421404,0.0,(s),e,(n),(o),(s)e(n)(o),Electricity,0.07791441593817834,15.879485480761847,5.609545052574831
38,25,2016,NonResidential,Hotel,ARCTIC CLUB SEATTLE,942000610,7,DOWNTOWN,1916,1.0,10.0,104352,0,104352,"('Hotel',)",Hotel,104352.0,None,0.0,None,0.0,(),39.0,97.30000305,97.30000305,225.5,225.5,10154608.0,10154608.0,3430862.0,1731644.125,5908370.0,8153.759765999999,815376.0,0.0,349.32,3.35,False,,Compliant,,98104.0,47.60376,-122.33193999999999,700 3RD AVE,104352.0,100,9486.545454545454,0.0,False,False,0,0.33786257431109107,0.5818412685157319,0.08029615717317695,0.0,s,e,(n),(o),se(n)(o),Electricity,0.061270246395740316,16.133438150577508,5.855988407545532
40,26,2015,NonResidential,Other,KING COUNTY COURTHOUSE,942000860,7,DOWNTOWN,1916,1.0,10.0,540360,0,540360,"('Courthouse',)",Courthouse,537150.0,None,0.0,None,0.0,(),67.0,99.3,103.1,208.5,210.4,53333762.0,55378956.0,0.0,7853984.0,26798906.0,265349.0,26534856.0,0.0,1596.08,2.74,False,,Compliant,,98104,47.60264587,-122.33052826,516 3RD AVE,537150.0,99,49123.63636363636,0.0,False,False,0,0.0,0.5024754488535799,0.49752455114642014,0.0,(s),e,n,(o),(s)en(o),Electricity,0.03824942407999582,17.829710223958433,7.375305902066806
42,27,2015,NonResidential,Other,KING COUNTY CORRECTIONAL FACILITY,942001010,3,DOWNTOWN,1985,1.0,19.0,385274,0,385274,"('Other',)",Other,385274.0,None,0.0,None,0.0,(),,132.1,136.1,245.5,243.9,50900065.0,52435544.0,0.0,5766838.0,19677268.0,312228.0,31222797.0,0.0,1795.42,4.44,False,,Compliant,,98104,47.60355377,-122.32830048,500 5TH AVE,385274.0,30,19263.7,0.0,False,False,0,0.0,0.3865863039664095,0.6134136960335905,0.0,(s),e,n,(o),(s)en(o),NaturalGas,0.03993085640343585,17.775095239946516,7.492994256839467
45,28,2016,SPS-District K-12,K-12 School,GRAHAM HILL ELEMENTARY,1102000138,2,SOUTHEAST,1961,1.0,2.0,56228,0,56228,"('K-12 School',)",K-12 School,58916.0,None,0.0,None,0.0,(),95.0,26.10000038,29.10000038,60.70000076,64.59999847,1539478.0,1713623.5,0.0,274605.9063,936955.0,6025.229004,602523.0,0.0,38.53,0.69,True,,Error - Correct Default Data,,98118.0,47.545759999999994,-122.26853,5149 S. GRAHAM ST.,58916.0,55,18742.666666666668,0.0,False,False,0,0.0,0.6086186356674146,0.39138136433258547,0.0,(s),e,n,(o),(s)en(o),Electricity,0.10329165802732324,14.354120692400448,3.6514371586380663
47,29,2015,NonResidential,Hotel,WATERTOWN HOTEL,1142000755,4,NORTHEAST,2001,1.0,6.0,88592,30586,58006,"('Hotel', ' Parking')",Hotel,58006.0,Parking,30586.0,None,0.0,(),85.0,66.9,66.3,151.5,149.7,3880900.0,3848493.0,0.0,660802.0,2254751.0,16261.0,1626149.0,0.0,102.08,1.04,False,,Compliant,,98105,47.65953281,-122.3173925,4242 ROOSEVELT WAY NE,88592.0,14,8286.57142857143,0.34524562037204265,False,False,0,0.0,0.580986626813368,0.41901337318663195,0.0,(s),e,n,(o),(s)en(o),Electricity,0.06730193847277063,15.163192201064378,4.6257568195964796
48,30,2016,NonResidential,University,MAIN CAMPUS CENTER,660001420,7,DOWNTOWN,1928,1.0,7.0,126593,0,126593,"('College/University',)",College/University,125000.0,None,0.0,None,0.0,(),,90.69999695,97.5,173.0,180.0,11343685.0,12183313.0,0.0,1362096.75,4647474.0,66962.10938,6696211.0,0.0,388.04,3.07,False,,Compliant,,98121.0,47.618159999999996,-122.33628999999999,1000 LENORA ST.,125000.0,88,15824.125,0.0,False,False,0,0.0,0.40969702526119156,0.5903029747388084,0.0,(s),e,n,(o),(s)en(o),NaturalGas,0.059575802222919416,16.315577786543912,5.961108427093083
51,31,2015,NonResidential,Other,SEATTLE HONDA,660001725,7,DOWNTOWN,1930,1.0,2.0,67224,0,67224,"('Automobile Dealership',)",Automobile Dealership,67224.0,None,0.0,None,0.0,(),,20.7,20.7,64.9,64.9,1388775.0,1388717.0,0.0,407010.0,1388775.0,0.0,0.0,0.0,9.68,0.06,False,,Compliant,,98101,47.61490582,-122.33040102,1017 OLIVE WAY,67224.0,85,22408.0,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.10079542702111331,14.143890857277409,2.2700619012884857
52,32,2016,NonResidential,Hotel,HOMEWOOD SUITES,660001832,7,EAST,1991,1.0,8.0,158676,30301,128375,"('Hotel', ' Parking', ' Retail Store', ' Swimming Pool')",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,(),,45.5,46.29999924,58.0,58.79999924,5328052.0,5424942.0,0.0,167733.5,572307.0,47557.44922,4755745.0,0.0,256.57,1.62,False,,Compliant,,98101.0,47.613009999999996,-122.32928999999999,1011 PIKE ST,159176.0,25,14263.888888888889,0.19096145604880385,False,False,0,0.0,0.10741392914333418,0.8925860708566659,0.0,(s),(e),N,(o),(s)(e)N(o),NaturalGas,0.05481625872643558,15.506517766089406,5.5474015318626
54,33,2016,NonResidential,Hotel,MARRIOTT SPRINGHILL SUITES (33),660002680,7,DOWNTOWN,2001,1.0,10.0,171866,38281,133585,"('Hotel',)",Hotel,128909.0,None,0.0,None,0.0,(),57.0,85.80000305,86.69999695,181.1000061,180.6000061,11061916.0,11171407.0,0.0,1644403.75,5610706.0,54512.09766,5451210.0,0.0,328.63,1.91,False,,Compliant,,98101.0,47.61784,-122.32966,1800 YALE AVE,128909.0,15,12144.09090909091,0.22273748152630538,False,False,0,0.0,0.507209239339731,0.492790760660269,0.0,(s),e,n,(o),(s)en(o),Electricity,0.052202858053106864,16.22886812551207,5.794932497844912
56,34,2015,SPS-District K-12,K-12 School,MEANY MIDDLE SCHOOL (SPS-DISTRICT),688000090,3,CENTRAL,1955,1.0,1.0,126351,0,126351,"('K-12 School',)",K-12 School,126351.0,None,0.0,None,0.0,(),57.0,49.7,64.4,84.2,102.4,6283306.0,8131874.0,0.0,566538.0,1933106.0,43502.0,4350200.0,0.0,244.51,1.87,False,,Compliant,,98112,47.62309371,-122.3053887,300 20TH AVE E,126351.0,60,63175.5,0.0,False,False,0,0.0,0.30765746567173397,0.6923425343282661,0.0,(s),(e),N,(o),(s)(e)N(o),NaturalGas,0.1270253417348509,15.911301959267,5.499256207874054
59,35,2016,NonResidential,Hotel,HOTEL FIVE,697000170,7,DOWNTOWN,1978,1.0,5.0,68410,16200,52210,"('Hotel',)",Hotel,47994.0,None,0.0,None,0.0,(),57.0,92.90000153,95.0,199.6999969,206.3000031,4456714.0,4557974.0,0.0,687675.625,2346349.0,21103.65039,2110365.0,0.0,128.44,1.88,False,,Compliant,,98121.0,47.61558,-122.34186000000001,2200 5TH AVE,47994.0,38,8701.666666666666,0.2368074842859231,False,False,0,0.0,0.5264751114834831,0.47352488851651686,0.0,(s),e,n,(o),(s)en(o),Electricity,0.07449773124554375,15.332388784515244,4.855461869221313
61,36,2016,SPS-District K-12,K-12 School,JANE ADDAMS MIDDLE,752000170,5,NORTH,1949,1.0,2.0,160645,0,160645,"('K-12 School',)",K-12 School,164229.0,None,0.0,None,0.0,(),75.0,41.29999924,47.5,68.09999847,75.69999695,6779173.0,7800349.5,0.0,570809.1875,1947601.0,48315.71875,4831572.0,0.0,270.18,1.68,True,,Error - Correct Default Data,,98125.0,47.70994,-122.29301000000001,11051 34TH AVE. N.E.,164229.0,67,53548.333333333336,0.0,False,False,0,0.0,0.28729182748397186,0.7127081725160281,0.0,(s),(e),N,(o),(s)(e)N(o),NaturalGas,0.09135977570051534,15.869679098348293,5.599088403541535
62,37,2015,SPS-District K-12,K-12 School,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),809000005,7,MAGNOLIA / QUEEN ANNE,1989,1.0,2.0,51582,0,51582,"('K-12 School',)",K-12 School,55166.0,None,0.0,None,0.0,(),94.0,26.7,30.5,83.8,95.8,1472609.0,1682521.0,0.0,431579.0,1472609.0,0.0,0.0,0.0,10.27,0.08,True,,Compliant,,98109,47.63303191,-122.35245717,201 GARFIELD ST,55166.0,26,17194.0,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.10457910925035603,14.335803821849577,2.329227023940467
64,38,2016,NonResidential,Small- and Mid-Sized Office,GOOD SHEPHERD CENTER,825049008,4,LAKE UNION,1906,1.0,3.0,87262,0,87262,"('K-12 School', ' Multifamily Housing', ' Office', ' Other - Entertainment/Public Assembly')",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,(),,61.5,69.80000305,106.5,115.90000149999999,4145920.0,4703690.0,0.0,396495.6875,1352843.0,27930.77148,2793077.0,0.0,157.77,1.81,False,,Compliant,,98070.0,47.6641,-122.33118,4649 SUNNYSIDE AVE. N.,63403.0,110,21815.5,0.0,False,False,0,0.0,0.32630706815375116,0.6736929318462488,0.0,(s),(e),N,(o),(s)(e)N(o),NaturalGas,0.08263734802398638,15.363857865028466,5.061138276269363
66,40,2015,NonResidential,Hotel,SILVER CLOUD INN UNIVERSITY,925049117,4,NORTHEAST,1994,1.0,4.0,81871,0,81871,"('Hotel',)",Hotel,81871.0,None,0.0,None,0.0,(),20.0,90.6,93.8,178.5,181.8,7419900.0,7677473.0,0.0,957249.0,3266270.0,41536.0,4153630.0,0.0,243.37,2.8,False,,Compliant,,98105,47.66585193,-122.29889419,5036 25TH AVE NE,81871.0,21,16374.2,0.0,False,False,0,0.0,0.4402040458766291,0.5597959541233709,0.0,(s),e,n,(o),(s)en(o),NaturalGas,0.075703794647534,15.85380101452115,5.494582919054
68,41,2016,NonResidential,Self-Storage Facility,08781-UNIVERSITY VILLAGE,925049330,4,NORTHEAST,1955,1.0,2.0,110356,0,110356,"('Self-Storage Facility',)",Self-Storage Facility,26225.0,None,0.0,None,0.0,(),,12.10000038,12.39999962,35.20000076,35.5,318365.0,326223.0938,0.0,82434.0,281265.0,371.0,37100.0,0.0,3.93,0.04,False,,Compliant,,98105.0,47.66172,-122.29598,2746 NE 45TH ST SUITE 100,26225.0,61,36785.333333333336,0.0,False,False,0,0.0,0.8834670896612379,0.11653291033876212,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.09492967190077227,12.695336763106999,1.3686394258811698
70,43,2016,Campus,Mixed Use Property,PLANT 2 SITE,22000005,2,GREATER DUWAMISH,1992,1.0,3.0,494835,0,494835,"('Energy/Power Station', ' Laboratory', ' Manufacturing/Industrial Plant', ' Non-Refrigerated Warehouse', ' Office')",Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,(),8.0,221.6999969,233.10000609999997,388.2000122,400.2999878,448385283.0,471613856.0,0.0,44102076.0,150476283.0,2979090.0,297909000.0,0.0,16870.98,34.09,False,,Compliant,,98108.0,47.534929999999996,-122.31788,7755 E MARGINAL WAY S,1856706.0,24,123708.75,0.0,False,False,0,0.0,0.3355959455074265,0.6644040544925736,0.0,(s),e,n,(o),(s)en(o),NaturalGas,0.06692815601924451,19.971671107027095,9.733350265139087
71,46,2016,NonResidential,Warehouse,SEATTLE 11-13,323049024,2,GREATER DUWAMISH,1961,3.0,2.0,714095,0,714095,"('Non-Refrigerated Warehouse', ' Office', ' Refrigerated Warehouse')",Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,(),,46.40000153,45.79999924,145.8999939,143.8000031,44731153.0,44110016.0,0.0,13109951.0,44731153.0,0.0,0.0,0.0,311.84,0.44,False,,Compliant,,98118.0,47.511379999999996,-122.28875,3301 S NORFOLK ST,963000.0,55,238031.66666666666,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.23042087742852896,17.602197434810595,5.74249023575925
74,50,2015,SPS-District K-12,K-12 School,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),369000400,7,MAGNOLIA / QUEEN ANNE,1990,1.0,2.0,54986,0,54986,"('K-12 School',)",K-12 School,54986.0,None,0.0,None,0.0,"('2016',)",91.0,30.1,33.5,80.3,91.0,1655665.0,1842702.0,0.0,375707.0,1281965.0,3737.0,373700.0,0.0,28.78,0.42,False,,Compliant,,98199,47.65726207,-122.39065097,4017 26TH AVE W,54986.0,25,18328.666666666668,0.0,False,False,1,0.0,0.7742900888766749,0.22570991112332506,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.1036197925126052,14.426743530686231,3.359680701459222
75,51,2016,SPS-District K-12,K-12 School,ECKSTEIN MIDDLE,425049022,4,NORTHEAST,1950,1.0,2.0,175565,0,175565,"('K-12 School',)",K-12 School,182861.0,None,0.0,None,0.0,(),88.0,35.0,40.09999847,55.0,60.40000153,6399127.0,7329817.5,0.0,468840.5,1599684.0,47994.43359,4799443.0,0.0,266.05,1.52,True,,Error - Correct Default Data,,98115.0,47.682520000000004,-122.29498000000001,3003 N.E. 75TH ST.,182861.0,66,58521.666666666664,0.0,False,False,0,0.0,0.24998472447882344,0.7500152755211765,0.0,(s),(e),N,(o),(s)(e)N(o),NaturalGas,0.09060897695038515,15.807461175872119,5.583684261042379
78,52,2016,NonResidential,Small- and Mid-Sized Office,SBC52,467000429,6,BALLARD,1961,1.0,2.0,94900,0,94900,"('Non-Refrigerated Warehouse', ' Office')",Office,55586.0,Non-Refrigerated Warehouse,39314.0,None,0.0,(),57.0,65.19999695,68.90000153,163.0,165.8999939,6186461.0,6536359.5,0.0,1257791.75,4291585.0,18948.75977,1894876.0,0.0,130.56,1.38,False,,Compliant,,98107.0,47.66587,-122.38476000000001,5305 SHILSHOLE AVE NW,94900.0,55,31633.333333333332,0.0,False,False,0,0.0,0.6937059814973375,0.3062940185026625,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.09656397345776907,15.692890917069338,4.871832891215797
79,53,2016,NonResidential,Small- and Mid-Sized Office,EL CENTRO DE LA RAZA,570000340,2,GREATER DUWAMISH,1900,1.0,2.0,52554,0,52554,"('Office', ' Other - Education')",Office,51029.0,Other - Education,7849.0,None,0.0,(),83.0,50.09999847,53.5,108.6999969,112.3000031,2951331.0,3150635.5,0.0,462998.0,1579749.0,13715.82031,1371582.0,0.0,83.86,1.6,False,,Compliant,,98144.0,47.58034,-122.31132,2524 16TH AVE S,58878.0,116,17518.0,0.0,False,False,0,0.0,0.53526663054737,0.46473336945263,0.0,(s),e,n,(o),(s)en(o),Electricity,0.10429569336235056,14.963114736485569,4.429148741742616
